,Actual,Predicted,,,,,,,,,,,,,,,,
33,93,81.44946,,,,8821,2011,1,3,12,93,-13,-3,1031,cv,0.89,0,0
34,134,94.31751,,,,8822,2011,1,3,13,134,-13,-2,1030,cv,1.78,0,0
35,164,139.5822,,,,8823,2011,1,3,14,164,-15,-1,1029,cv,2.67,0,0
36,180,167.99347,,,,8824,2011,1,3,15,180,-15,-1,1029,SE,1.79,0,0
37,184,180.06241,,,,8825,2011,1,3,16,184,-15,-2,1029,cv,0.89,0,0
38,175,185.3618,,,,8826,2011,1,3,17,175,-15,-3,1029,cv,1.34,0,0
39,188,173.89447,,,,8827,2011,1,3,18,188,-14,-5,1029,NE,0.89,0,0
40,255,187.15881,,,,8828,2011,1,3,19,255,-14,-5,1030,NE,1.78,0,0
41,286,252.0109,,,,8829,2011,1,3,20,286,-14,-8,1029,NE,2.67,0,0
42,225,278.2181,,,,8830,2011,1,3,21,225,-15,-8,1029,cv,0.45,0,0
43,234,219.3347,,,,8831,2011,1,3,22,234,-15,-9,1029,cv,1.34,0,0
44,226,230.55415,,,,8832,2011,1,3,23,226,-15,-9,1029,NW,1.79,0,0
45,233,220.11557,,,,8833,2011,1,4,0,233,-15,-10,1029,NW,2.68,0,0
46,275,227.3515,,,,8834,2011,1,4,1,275,-15,-10,1028,cv,0.45,0,0
47,153,277.4713,,,,8835,2011,1,4,2,153,-16,-11,1028,NW,3.13,0,0
48,121,134.94826,,,,8836,2011,1,4,3,121,-15,-9,1028,NW,4.92,0,0
49,77,110.135345,,,,8837,2011,1,4,4,77,-15,-11,1028,NW,5.81,0,0
50,64,71.54273,,,,8838,2011,1,4,5,64,-16,-11,1028,NW,7.6,0,0
51,67,60.648117,,,,8839,2011,1,4,6,67,-15,-10,1028,NW,9.39,0,0
52,67,65.41038,,,,8840,2011,1,4,7,67,-15,-11,1028,cv,0.89,0,0
53,59,70.266106,,,,8841,2011,1,4,8,59,-16,-11,1028,NW,1.79,0,0
54,74,57.044086,,,,8842,2011,1,4,9,74,-14,-9,1028,NE,1.79,0,0
55,89,74.24406,,,,8843,2011,1,4,10,89,-13,-5,1028,cv,0.89,0,0
56,96,91.77159,,,,8844,2011,1,4,11,96,-14,-4,1028,cv,1.78,0,0
57,96,95.980865,,,,8845,2011,1,4,12,96,-14,-2,1027,cv,2.67,0,0
58,85,96.183174,,,,8846,2011,1,4,13,85,-14,0,1026,cv,3.56,0,0
59,84,84.17727,,,,8847,2011,1,4,14,84,-14,2,1025,NW,3.13,0,0
60,90,82.97588,,,,8848,2011,1,4,15,90,-15,2,1024,NW,8.94,0,0
61,61,89.29478,,,,8849,2011,1,4,16,61,-16,2,1024,NW,13.86,0,0
62,65,57.432995,,,,8850,2011,1,4,17,65,-17,0,1025,NW,21.01,0,0
63,73,63.63412,,,,8851,2011,1,4,18,73,-15,0,1026,NW,29.06,0,0
64,68,72.93989,,,,8852,2011,1,4,19,68,-16,0,1027,NW,36.21,0,0
65,58,65.77751,,,,8853,2011,1,4,20,58,-17,-2,1027,NW,43.36,0,0
66,53,56.431602,,,,8854,2011,1,4,21,53,-17,-2,1028,NW,51.41,0,0
67,46,51.516476,,,,8855,2011,1,4,22,46,-18,-3,1028,NW,58.56,0,0
68,38,44.908226,,,,8856,2011,1,4,23,38,-18,-4,1029,NW,66.61,0,0
69,28,37.431183,,,,8857,2011,1,5,0,28,-19,-5,1029,NW,75.55,0,0
70,31,27.757418,,,,8858,2011,1,5,1,31,-19,-5,1029,NW,85.38,0,0
71,24,31.37367,,,,8859,2011,1,5,2,24,-20,-6,1029,NW,95.21,0,0
72,21,24.34466,,,,8860,2011,1,5,3,21,-20,-7,1030,NW,104.15,0,0
73,27,21.574982,,,,8861,2011,1,5,4,27,-20,-7,1030,NW,113.09,0,0
74,23,27.838303,,,,8862,2011,1,5,5,23,-21,-7,1030,NW,122.92,0,0
75,24,22.902042,,,,8863,2011,1,5,6,24,-21,-8,1030,NW,130.07,0,0
76,21,24.794483,,,,8864,2011,1,5,7,21,-21,-8,1031,NW,137.22,0,0
77,19,21.166758,,,,8865,2011,1,5,8,19,-22,-7,1032,NW,146.16,0,0
78,21,17.646786,,,,8866,2011,1,5,9,21,-21,-7,1032,NW,155.1,0,0
79,19,21.321644,,,,8867,2011,1,5,10,19,-21,-6,1032,NW,164.04,0,0
80,21,18.905714,,,,8868,2011,1,5,11,21,-21,-4,1032,NW,172.98,0,0
81,18,19.862648,,,,8869,2011,1,5,12,18,-21,-4,1031,NW,182.81,0,0
82,19,18.045599,,,,8870,2011,1,5,13,19,-21,-3,1031,NW,191.75,0,0
83,16,18.748451,,,,8871,2011,1,5,14,16,-20,-2,1030,NW,199.8,0,0
84,18,16.20216,,,,8872,2011,1,5,15,18,-20,-2,1031,NW,208.74,0,0
85,18,17.863579,,,,8873,2011,1,5,16,18,-20,-2,1031,NW,218.57,0,0
86,16,17.800976,,,,8874,2011,1,5,17,16,-19,-3,1032,NW,227.51,0,0
87,10,16.414242,,,,8875,2011,1,5,18,10,-19,-4,1032,NW,235.56,0,0
88,16,10.546503,,,,8876,2011,1,5,19,16,-19,-4,1033,NW,243.61,0,0
89,17,15.939477,,,,8877,2011,1,5,20,17,-19,-5,1035,NW,252.55,0,0
90,17,16.261892,,,,8878,2011,1,5,21,17,-19,-5,1035,NW,259.7,0,0
91,30,16.321402,,,,8879,2011,1,5,22,30,-19,-5,1036,NW,266.85,0,0
92,12,29.304266,,,,8880,2011,1,5,23,12,-19,-5,1037,NW,274.9,0,0
93,13,9.388275,,,,8881,2011,1,6,0,13,-19,-6,1037,NW,282.95,0,0
94,17,12.449618,,,,8882,2011,1,6,1,17,-20,-7,1037,NW,288.76,0,0
95,10,16.778557,,,,8883,2011,1,6,2,10,-20,-7,1038,NW,294.57,0,0
96,12,8.403495,,,,8884,2011,1,6,3,12,-20,-7,1038,NW,302.62,0,0
97,13,11.1049795,,,,8885,2011,1,6,4,13,-20,-8,1038,NW,307.54,0,0
98,13,12.8814,,,,8886,2011,1,6,5,13,-20,-8,1038,NW,312.46,0,0
99,9,12.392991,,,,8887,2011,1,6,6,9,-20,-8,1039,NW,317.38,0,0
100,6,7.462092,,,,8888,2011,1,6,7,6,-21,-9,1039,NW,321.4,0,0
101,9,4.9687495,,,,8889,2011,1,6,8,9,-20,-9,1040,NW,325.42,0,0
102,14,8.480768,,,,8890,2011,1,6,9,14,-20,-6,1041,NW,332.57,0,0
103,14,11.0963745,,,,8891,2011,1,6,10,14,-20,-5,1041,NW,341.51,0,0
104,13,11.195925,,,,8892,2011,1,6,11,13,-19,-4,1040,NW,350.45,0,0
105,18,11.573576,,,,8893,2011,1,6,12,18,-19,-2,1039,NW,359.39,0,0
106,15,16.112823,,,,8894,2011,1,6,13,15,-19,-2,1038,NW,368.33,0,0
107,18,13.345045,,,,8895,2011,1,6,14,18,-19,-1,1037,NW,377.27,0,0
108,13,16.494463,,,,8896,2011,1,6,15,13,-18,-1,1037,NW,385.32,0,0
109,13,11.536896,,,,8897,2011,1,6,16,13,-18,-2,1037,NW,392.47,0,0
110,20,12.25891,,,,8898,2011,1,6,17,20,-18,-1,1036,NW,399.62,0,0
111,21,18.940369,,,,8899,2011,1,6,18,21,-18,-2,1037,NW,406.77,0,0
112,22,19.370064,,,,8900,2011,1,6,19,22,-18,-3,1037,NW,412.58,0,0
113,27,20.755114,,,,8901,2011,1,6,20,27,-18,-4,1037,NW,417.5,0,0
114,21,26.06587,,,,8902,2011,1,6,21,21,-19,-6,1037,NW,422.42,0,0
115,28,19.512062,,,,8903,2011,1,6,22,28,-19,-6,1038,NW,425.55,0,0
116,22,26.048347,,,,8904,2011,1,6,23,22,-19,-7,1038,NW,429.57,0,0
117,18,20.003574,,,,8905,2011,1,7,0,18,-18,-6,1037,NW,432.7,0,0
118,17,16.3944,,,,8906,2011,1,7,1,17,-18,-7,1037,NW,437.62,0,0
119,16,16.01092,,,,8907,2011,1,7,2,16,-19,-7,1036,NW,441.64,0,0
120,27,14.594675,,,,8908,2011,1,7,3,27,-19,-10,1036,NW,445.66,0,0
121,17,27.72913,,,,8909,2011,1,7,4,17,-19,-8,1035,NE,4.02,0,0
122,13,16.459522,,,,8910,2011,1,7,5,13,-19,-11,1035,NW,4.02,0,0
123,23,16.564997,,,,8911,2011,1,7,6,23,-19,-11,1035,NW,7.15,0,0
124,27,25.512207,,,,8912,2011,1,7,7,27,-19,-11,1035,NW,10.28,0,0
125,44,28.49062,,,,8913,2011,1,7,8,44,-19,-8,1035,NW,13.41,0,0
126,24,43.733532,,,,8914,2011,1,7,9,24,-18,-5,1034,NW,17.43,0,0
127,32,22.186708,,,,8915,2011,1,7,10,32,-18,-4,1034,NW,22.35,0,0
128,40,31.848835,,,,8916,2011,1,7,11,40,-18,-3,1033,NW,25.48,0,0
129,43,40.59881,,,,8917,2011,1,7,12,43,-18,-2,1032,NW,27.27,0,0
130,51,43.209934,,,,8918,2011,1,7,13,51,-17,-1,1030,cv,0.89,0,0
131,48,56.195095,,,,8919,2011,1,7,14,48,-18,1,1028,cv,2.68,0,0
132,56,49.792023,,,,8920,2011,1,7,15,56,-18,1,1027,SE,1.79,0,0
133,56,58.881596,,,,8921,2011,1,7,16,56,-18,0,1026,SE,4.92,0,0
134,54,59.235783,,,,8922,2011,1,7,17,54,-17,-1,1026,SE,8.05,0,0
135,69,56.701946,,,,8923,2011,1,7,18,69,-17,-1,1026,SE,12.07,0,0
136,79,71.59295,,,,8924,2011,1,7,19,79,-17,-2,1025,SE,15.2,0,0
137,79,81.63888,,,,8925,2011,1,7,20,79,-16,-2,1025,SE,18.33,0,0
138,92,80.31746,,,,8926,2011,1,7,21,92,-17,-4,1025,SE,19.22,0,0
139,86,93.88509,,,,8927,2011,1,7,22,86,-16,-4,1025,cv,0.89,0,0
140,109,88.421875,,,,8928,2011,1,7,23,109,-16,-7,1025,cv,1.78,0,0
141,120,114.938065,,,,8929,2011,1,8,0,120,-14,-7,1025,SE,0.89,0,0
142,126,123.17466,,,,8930,2011,1,8,1,126,-15,-6,1024,SE,2.68,0,0
143,156,125.50609,,,,8931,2011,1,8,2,156,-15,-8,1024,cv,0.89,0,0
144,156,160.3856,,,,8932,2011,1,8,3,156,-15,-7,1024,NW,0.89,0,0
145,173,153.22255,,,,8933,2011,1,8,4,173,-15,-7,1024,NW,2.68,0,0
146,181,169.86943,,,,8934,2011,1,8,5,181,-15,-6,1024,NW,5.81,0,0
147,118,175.22089,,,,8935,2011,1,8,6,118,-15,-5,1025,NW,8.94,0,0
148,79,107.82594,,,,8936,2011,1,8,7,79,-16,-5,1025,NW,13.86,0,0
149,25,71.217705,,,,8937,2011,1,8,8,25,-14,-3,1026,NW,18.78,0,0
150,19,20.060772,,,,8938,2011,1,8,9,19,-16,-3,1027,NW,25.93,0,0
151,16,17.160368,,,,8939,2011,1,8,10,16,-17,-3,1028,NW,34.87,0,0
152,21,15.646612,,,,8940,2011,1,8,11,21,-17,-2,1028,NW,46.05,0,0
153,20,21.571833,,,,8941,2011,1,8,12,20,-17,-1,1027,NW,54.99,0,0
154,23,20.963802,,,,8942,2011,1,8,13,23,-17,-1,1027,NW,63.93,0,0
155,26,24.217648,,,,8943,2011,1,8,14,26,-17,-1,1028,NW,73.76,0,0
156,17,26.610512,,,,8944,2011,1,8,15,17,-18,-1,1028,NW,83.59,0,0
157,0,16.872873,,,,8945,2011,1,8,16,NA,-18,-1,1029,NW,93.42,0,0
158,0,-0.080740266,,,,8946,2011,1,8,17,NA,-18,-2,1030,NW,101.47,0,0
159,0,1.5961343,,,,8947,2011,1,8,18,NA,-19,-2,1031,NW,111.3,0,0
160,0,0.9493011,,,,8948,2011,1,8,19,NA,-20,-2,1032,NW,121.13,0,0
161,0,0.36979118,,,,8949,2011,1,8,20,NA,-20,-3,1033,NW,138.12,0,0
162,0,1.2773412,,,,8950,2011,1,8,21,NA,-21,-5,1034,NW,151.08,0,0
163,0,1.6715884,,,,8951,2011,1,8,22,NA,-22,-6,1035,NW,160.91,0,0
164,0,1.000871,,,,8952,2011,1,8,23,NA,-22,-6,1036,NW,172.98,0,0
165,0,0.5633563,,,,8953,2011,1,9,0,NA,-22,-6,1037,NW,184.16,0,0
166,0,0.3931424,,,,8954,2011,1,9,1,NA,-22,-7,1037,NW,197.12,0,0
167,0,1.311368,,,,8955,2011,1,9,2,NA,-23,-7,1037,NW,209.19,0,0
168,0,0.5596589,,,,8956,2011,1,9,3,NA,-23,-7,1037,NW,220.37,0,0
169,0,0.5417066,,,,8957,2011,1,9,4,NA,-24,-8,1037,NW,230.2,0,0
170,0,0.8194849,,,,8958,2011,1,9,5,NA,-24,-8,1038,NW,242.27,0,0
171,0,0.18478867,,,,8959,2011,1,9,6,NA,-23,-9,1038,NW,250.32,0,0
172,0,1.436883,,,,8960,2011,1,9,7,NA,-23,-9,1039,NW,256.13,0,0
173,0,0.40691546,,,,8961,2011,1,9,8,NA,-22,-8,1039,NW,260.15,0,0
174,0,0.03467941,,,,8962,2011,1,9,9,NA,-22,-7,1040,NW,268.2,0,0
175,0,-0.9177257,,,,8963,2011,1,9,10,NA,-23,-6,1039,NW,277.14,0,0
176,0,-0.9584094,,,,8964,2011,1,9,11,NA,-23,-4,1039,NW,286.08,0,0
177,0,-1.4644109,,,,8965,2011,1,9,12,NA,-22,-4,1038,NW,295.02,0,0
178,0,0.45224407,,,,8966,2011,1,9,13,NA,-22,-3,1037,NW,303.96,0,0
179,0,0.17824095,,,,8967,2011,1,9,14,NA,-22,-3,1036,NW,312.9,0,0
180,0,0.33578572,,,,8968,2011,1,9,15,NA,-22,-3,1035,NW,320.95,0,0
181,0,0.59793204,,,,8969,2011,1,9,16,NA,-22,-3,1035,NW,328.1,0,0
182,0,0.13492213,,,,8970,2011,1,9,17,NA,-21,-3,1035,NW,335.25,0,0
183,0,0.4379285,,,,8971,2011,1,9,18,NA,-22,-4,1035,NW,341.06,0,0
184,0,0.20662999,,,,8972,2011,1,9,19,NA,-22,-4,1035,NW,345.98,0,0
185,0,-0.09387135,,,,8973,2011,1,9,20,NA,-22,-5,1035,NW,350.9,0,0
186,0,0.48723269,,,,8974,2011,1,9,21,NA,-22,-5,1035,NW,354.92,0,0
187,0,0.1287012,,,,8975,2011,1,9,22,NA,-22,-6,1035,NW,358.05,0,0
188,0,0.49244595,,,,8976,2011,1,9,23,NA,-22,-6,1035,NW,362.07,0,0
189,0,0.14286123,,,,8977,2011,1,10,0,NA,-21,-5,1034,NW,369.22,0,0
190,0,0.32495,,,,8978,2011,1,10,1,NA,-21,-6,1034,NW,376.37,0,0
191,0,0.6909767,,,,8979,2011,1,10,2,NA,-21,-6,1034,NW,382.18,0,0
192,0,0.17014308,,,,8980,2011,1,10,3,NA,-21,-6,1033,NW,391.12,0,0
193,0,0.43743047,,,,8981,2011,1,10,4,NA,-21,-6,1033,NW,398.27,0,0
194,0,0.16556533,,,,8982,2011,1,10,5,NA,-21,-7,1032,NW,403.19,0,0
195,0,1.0835087,,,,8983,2011,1,10,6,NA,-22,-10,1032,cv,0.89,0,0
196,0,5.3410654,,,,8984,2011,1,10,7,NA,-22,-10,1032,NE,3.13,0,0
197,0,3.8868308,,,,8985,2011,1,10,8,NA,-22,-10,1032,NW,4.02,0,0
198,0,4.1589622,,,,8986,2011,1,10,9,NA,-21,-7,1031,NW,8.04,0,0
199,0,2.2848608,,,,8987,2011,1,10,10,NA,-21,-5,1030,NE,4.92,0,0
200,0,2.4812064,,,,8988,2011,1,10,11,NA,-20,-4,1029,NW,4.92,0,0
201,0,3.8685822,,,,8989,2011,1,10,12,NA,-20,-2,1028,NW,8.05,0,0
202,0,2.5407913,,,,8990,2011,1,10,13,NA,-20,0,1026,NW,13.86,0,0
203,0,2.6764643,,,,8991,2011,1,10,14,NA,-23,0,1025,NW,21.01,0,0
204,0,2.1956306,,,,8992,2011,1,10,15,NA,-23,0,1025,NW,28.16,0,0
205,43,2.8320756,,,,8993,2011,1,10,16,43,-22,0,1024,NW,33.08,0,0
206,50,47.200672,,,,8994,2011,1,10,17,50,-20,-1,1024,cv,4.02,0,0
207,70,57.752182,,,,8995,2011,1,10,18,70,-20,-3,1024,SE,3.13,0,0
208,69,74.7113,,,,8996,2011,1,10,19,69,-19,-4,1023,SE,6.26,0,0
209,88,72.78454,,,,8997,2011,1,10,20,88,-19,-3,1023,SE,11.18,0,0
210,106,89.724594,,,,8998,2011,1,10,21,106,-20,-3,1022,SE,15.2,0,0
211,115,107.00991,,,,8999,2011,1,10,22,115,-20,-4,1022,SE,18.33,0,0
212,100,115.66898,,,,9000,2011,1,10,23,100,-20,-6,1022,cv,0.89,0,0
213,105,101.76002,,,,9001,2011,1,11,0,105,-19,-7,1021,cv,1.78,0,0
214,76,108.4199,,,,9002,2011,1,11,1,76,-19,-2,1021,NW,4.92,0,0
215,33,71.48534,,,,9003,2011,1,11,2,33,-19,-5,1021,NW,6.71,0,0
216,29,31.71467,,,,9004,2011,1,11,3,29,-19,-7,1021,NW,8.5,0,0
217,26,31.150179,,,,9005,2011,1,11,4,26,-19,-6,1021,cv,1.79,0,0
218,19,30.450756,,,,9006,2011,1,11,5,19,-19,-4,1021,NW,8.05,0,0
219,18,19.552214,,,,9007,2011,1,11,6,18,-20,-5,1022,NW,13.86,0,0
220,13,20.081621,,,,9008,2011,1,11,7,13,-20,-5,1022,NW,19.67,0,0
221,14,15.047432,,,,9009,2011,1,11,8,14,-20,-6,1023,NW,25.48,0,0
222,15,16.468948,,,,9010,2011,1,11,9,15,-20,-4,1024,NW,33.53,0,0
223,18,15.805347,,,,9011,2011,1,11,10,18,-20,-3,1025,NW,41.58,0,0
224,21,18.470531,,,,9012,2011,1,11,11,21,-20,-3,1025,NW,49.63,0,0
225,21,22.47927,,,,9013,2011,1,11,12,21,-20,-2,1024,NW,56.78,0,0
226,16,22.53835,,,,9014,2011,1,11,13,16,-21,-1,1023,NW,64.83,0,0
227,8,16.91006,,,,9015,2011,1,11,14,8,-20,-1,1023,NW,71.98,0,0
228,18,9.98358,,,,9016,2011,1,11,15,18,-20,-1,1022,NW,80.92,0,0
229,12,20.85727,,,,9017,2011,1,11,16,12,-20,-1,1023,NW,88.97,0,0
230,13,13.57459,,,,9018,2011,1,11,17,13,-22,-2,1023,NW,94.78,0,0
231,19,14.215639,,,,9019,2011,1,11,18,19,-22,-3,1024,NW,99.7,0,0
232,21,20.757046,,,,9020,2011,1,11,19,21,-23,-3,1024,NW,106.85,0,0
233,20,22.107586,,,,9021,2011,1,11,20,20,-23,-5,1025,cv,0.89,0,0
234,22,25.783194,,,,9022,2011,1,11,21,22,-23,-6,1025,NW,4.02,0,0
235,37,25.327724,,,,9023,2011,1,11,22,37,-23,-7,1025,cv,0.89,0,0
236,54,43.715492,,,,9024,2011,1,11,23,54,-23,-8,1025,cv,1.78,0,0
237,45,59.484993,,,,9025,2011,1,12,0,45,-22,-6,1025,NW,1.79,0,0
238,24,45.94278,,,,9026,2011,1,12,1,24,-21,-8,1025,NW,3.58,0,0
239,35,26.30085,,,,9027,2011,1,12,2,35,-22,-9,1025,NW,5.37,0,0
240,30,37.184795,,,,9028,2011,1,12,3,30,-20,-11,1025,cv,0.89,0,0
241,34,36.672062,,,,9029,2011,1,12,4,34,-21,-10,1025,NW,3.13,0,0
242,37,35.069637,,,,9030,2011,1,12,5,37,-21,-9,1025,NW,4.92,0,0
243,49,38.101517,,,,9031,2011,1,12,6,49,-22,-13,1025,NW,8.05,0,0
244,62,51.6606,,,,9032,2011,1,12,7,62,-21,-13,1025,NW,8.94,0,0
245,59,63.989704,,,,9033,2011,1,12,8,59,-20,-13,1026,SE,0.89,0,0
246,74,60.48659,,,,9034,2011,1,12,9,74,-19,-9,1026,NW,1.79,0,0
247,61,72.00002,,,,9035,2011,1,12,10,61,-19,-6,1026,NW,3.58,0,0
248,86,57.854427,,,,9036,2011,1,12,11,86,-20,-4,1026,NW,5.37,0,0
249,71,83.2341,,,,9037,2011,1,12,12,71,-20,-1,1024,cv,0.89,0,0
250,56,71.52264,,,,9038,2011,1,12,13,56,-19,0,1023,cv,1.78,0,0
251,79,56.730835,,,,9039,2011,1,12,14,79,-21,0,1022,SE,4.02,0,0
252,81,82.2601,,,,9040,2011,1,12,15,81,-22,1,1022,SE,7.15,0,0
253,89,81.34572,,,,9041,2011,1,12,16,89,-20,0,1022,SE,10.28,0,0
254,45,91.07871,,,,9042,2011,1,12,17,45,-20,-3,1022,SE,12.07,0,0
255,55,45.506374,,,,9043,2011,1,12,18,55,-20,-3,1022,SE,15.2,0,0
256,49,57.046326,,,,9044,2011,1,12,19,49,-18,-5,1022,SE,16.09,0,0
257,66,52.61881,,,,9045,2011,1,12,20,66,-20,-6,1023,cv,0.89,0,0
258,96,70.44471,,,,9046,2011,1,12,21,96,-19,-8,1023,SE,0.89,0,0
259,100,100.642365,,,,9047,2011,1,12,22,100,-18,-8,1023,cv,0.89,0,0
260,124,104.19795,,,,9048,2011,1,12,23,124,-19,-9,1023,cv,1.78,0,0
261,144,127.53479,,,,9049,2011,1,13,0,144,-19,-10,1022,SE,0.89,0,0
262,252,146.45636,,,,9050,2011,1,13,1,252,-20,-8,1022,NE,1.79,0,0
263,244,251.97316,,,,9051,2011,1,13,2,244,-20,-11,1022,NW,1.79,0,0
264,204,240.08649,,,,9052,2011,1,13,3,204,-19,-12,1022,NW,4.92,0,0
265,166,194.58713,,,,9053,2011,1,13,4,166,-18,-11,1022,NW,6.71,0,0
266,138,156.3382,,,,9054,2011,1,13,5,138,-18,-11,1021,NW,7.6,0,0
267,149,130.48532,,,,9055,2011,1,13,6,149,-19,-10,1022,NW,9.39,0,0
268,139,142.47696,,,,9056,2011,1,13,7,139,-19,-13,1022,NW,12.52,0,0
269,168,135.124,,,,9057,2011,1,13,8,168,-18,-9,1023,cv,0.89,0,0
270,165,168.21117,,,,9058,2011,1,13,9,165,-17,-7,1023,NW,1.79,0,0
271,123,159.11781,,,,9059,2011,1,13,10,123,-16,-3,1023,cv,0.89,0,0
272,125,116.90361,,,,9060,2011,1,13,11,125,-17,-2,1023,cv,1.78,0,0
273,111,122.51192,,,,9061,2011,1,13,12,111,-19,0,1021,cv,2.67,0,0
274,79,108.72783,,,,9062,2011,1,13,13,79,-21,3,1020,NW,5.81,0,0
275,51,73.105865,,,,9063,2011,1,13,14,51,-21,3,1020,NW,15.64,0,0
276,69,48.31399,,,,9064,2011,1,13,15,69,-21,3,1020,NW,24.58,0,0
277,75,68.47332,,,,9065,2011,1,13,16,75,-21,3,1021,NW,31.73,0,0
278,60,73.92089,,,,9066,2011,1,13,17,60,-19,2,1022,SE,4.02,0,0
279,62,61.16909,,,,9067,2011,1,13,18,62,-19,1,1022,NW,4.02,0,0
280,74,62.876328,,,,9068,2011,1,13,19,74,-18,-2,1023,NW,5.81,0,0
281,95,76.53374,,,,9069,2011,1,13,20,95,-18,-1,1024,cv,0.89,0,0
282,120,99.22536,,,,9070,2011,1,13,21,120,-18,-7,1025,NW,4.02,0,0
283,125,123.046844,,,,9071,2011,1,13,22,125,-17,-5,1025,SE,1.79,0,0
284,95,125.91132,,,,9072,2011,1,13,23,95,-18,-2,1026,NW,3.13,0,0
285,27,86.97028,,,,9073,2011,1,14,0,27,-17,-2,1027,NW,8.05,0,0
286,25,20.735912,,,,9074,2011,1,14,1,25,-18,-3,1028,NW,13.86,0,0
287,25,24.336542,,,,9075,2011,1,14,2,25,-17,-3,1028,NW,22.8,0,0
288,18,26.548794,,,,9076,2011,1,14,3,18,-18,-4,1029,NW,29.95,0,0
289,12,18.904709,,,,9077,2011,1,14,4,12,-19,-5,1030,NW,38,0,0
290,17,12.668555,,,,9078,2011,1,14,5,17,-19,-6,1031,NW,45.15,0,0
291,14,18.645248,,,,9079,2011,1,14,6,14,-19,-6,1032,NW,50.96,0,0
292,15,15.009164,,,,9080,2011,1,14,7,15,-20,-8,1033,NW,56.77,0,0
293,16,16.415203,,,,9081,2011,1,14,8,16,-20,-7,1034,NW,63.92,0,0
294,19,16.349796,,,,9082,2011,1,14,9,19,-20,-6,1035,NW,68.84,0,0
295,20,18.764894,,,,9083,2011,1,14,10,20,-20,-4,1035,NW,73.76,0,0
296,21,19.372065,,,,9084,2011,1,14,11,21,-20,-3,1035,NW,81.81,0,0
297,20,20.713736,,,,9085,2011,1,14,12,20,-20,-2,1034,NW,88.96,0,0
298,14,20.244337,,,,9086,2011,1,14,13,14,-20,-2,1033,NW,94.77,0,0
299,18,14.899703,,,,9087,2011,1,14,14,18,-20,-2,1032,NW,98.79,0,0
300,20,19.671415,,,,9088,2011,1,14,15,20,-21,-1,1032,NW,105.94,0,0
