,Actual,Predicted,Dates
68,38.0,44.931366,2011-01-04 23:00:00
69,28.0,37.728523,2011-01-05 00:00:00
70,31.0,28.158024,2011-01-05 01:00:00
71,24.0,31.374603,2011-01-05 02:00:00
72,21.0,24.614733,2011-01-05 03:00:00
73,27.0,22.052746,2011-01-05 04:00:00
74,23.0,27.883553,2011-01-05 05:00:00
75,24.0,23.121798,2011-01-05 06:00:00
76,21.0,24.875183,2011-01-05 07:00:00
77,19.0,21.588531,2011-01-05 08:00:00
78,21.0,18.241056,2011-01-05 09:00:00
79,19.0,21.45009,2011-01-05 10:00:00
80,21.0,19.06159,2011-01-05 11:00:00
81,18.0,19.886393,2011-01-05 12:00:00
82,19.0,17.9499,2011-01-05 13:00:00
83,16.0,18.647902,2011-01-05 14:00:00
84,18.0,16.085886,2011-01-05 15:00:00
85,18.0,17.903643,2011-01-05 16:00:00
86,16.0,17.832253,2011-01-05 17:00:00
87,10.0,16.610147,2011-01-05 18:00:00
88,16.0,10.927086,2011-01-05 19:00:00
89,17.0,16.044558,2011-01-05 20:00:00
90,17.0,16.722172,2011-01-05 21:00:00
91,30.0,16.53775,2011-01-05 22:00:00
92,12.0,28.89386,2011-01-05 23:00:00
93,13.0,10.366008,2011-01-06 00:00:00
94,17.0,12.688678,2011-01-06 01:00:00
95,10.0,16.761341,2011-01-06 02:00:00
96,12.0,9.123732,2011-01-06 03:00:00
97,13.0,11.405043,2011-01-06 04:00:00
98,13.0,13.070278,2011-01-06 05:00:00
99,9.0,12.656784,2011-01-06 06:00:00
100,6.0,8.183503,2011-01-06 07:00:00
101,9.0,5.646612,2011-01-06 08:00:00
102,14.0,8.947017,2011-01-06 09:00:00
103,14.0,11.580594,2011-01-06 10:00:00
104,13.0,11.571548,2011-01-06 11:00:00
105,18.0,11.684547,2011-01-06 12:00:00
106,15.0,15.875175,2011-01-06 13:00:00
107,18.0,13.397409,2011-01-06 14:00:00
108,13.0,16.306585,2011-01-06 15:00:00
109,13.0,11.911964,2011-01-06 16:00:00
110,20.0,12.56016,2011-01-06 17:00:00
111,21.0,18.709549,2011-01-06 18:00:00
112,22.0,19.53868,2011-01-06 19:00:00
113,27.0,20.84887,2011-01-06 20:00:00
114,21.0,25.823246,2011-01-06 21:00:00
115,28.0,19.807583,2011-01-06 22:00:00
116,22.0,25.977663,2011-01-06 23:00:00
117,18.0,20.404892,2011-01-07 00:00:00
118,17.0,16.70328,2011-01-07 01:00:00
119,16.0,16.33956,2011-01-07 02:00:00
120,27.0,14.90533,2011-01-07 03:00:00
121,17.0,27.240578,2011-01-07 04:00:00
122,13.0,16.919737,2011-01-07 05:00:00
123,23.0,17.832407,2011-01-07 06:00:00
124,27.0,25.911152,2011-01-07 07:00:00
125,44.0,29.092915,2011-01-07 08:00:00
126,24.0,43.87214,2011-01-07 09:00:00
127,32.0,22.863865,2011-01-07 10:00:00
128,40.0,31.95011,2011-01-07 11:00:00
129,43.0,40.313858,2011-01-07 12:00:00
130,51.0,42.826084,2011-01-07 13:00:00
131,48.0,56.06086,2011-01-07 14:00:00
132,56.0,51.025738,2011-01-07 15:00:00
133,56.0,60.884583,2011-01-07 16:00:00
134,54.0,60.694233,2011-01-07 17:00:00
135,69.0,58.032562,2011-01-07 18:00:00
136,79.0,72.56023,2011-01-07 19:00:00
137,79.0,82.16958,2011-01-07 20:00:00
138,92.0,81.17697,2011-01-07 21:00:00
139,86.0,94.42049,2011-01-07 22:00:00
140,109.0,89.87564,2011-01-07 23:00:00
141,120.0,115.78106,2011-01-08 00:00:00
142,126.0,124.34452,2011-01-08 01:00:00
143,156.0,126.17872,2011-01-08 02:00:00
144,156.0,160.77669,2011-01-08 03:00:00
145,173.0,153.44473,2011-01-08 04:00:00
146,181.0,170.10182,2011-01-08 05:00:00
147,118.0,174.50104,2011-01-08 06:00:00
148,79.0,108.10204,2011-01-08 07:00:00
149,25.0,71.943985,2011-01-08 08:00:00
150,19.0,21.607998,2011-01-08 09:00:00
151,16.0,18.170197,2011-01-08 10:00:00
152,21.0,16.472614,2011-01-08 11:00:00
153,20.0,21.851398,2011-01-08 12:00:00
154,23.0,20.950516,2011-01-08 13:00:00
155,26.0,24.171322,2011-01-08 14:00:00
156,17.0,26.76996,2011-01-08 15:00:00
157,0.0,17.29689,2011-01-08 16:00:00
158,0.0,0.97703046,2011-01-08 17:00:00
159,0.0,2.404658,2011-01-08 18:00:00
160,0.0,1.779071,2011-01-08 19:00:00
161,0.0,1.2199292,2011-01-08 20:00:00
162,0.0,2.021313,2011-01-08 21:00:00
163,0.0,2.4523683,2011-01-08 22:00:00
164,0.0,1.8404769,2011-01-08 23:00:00
165,0.0,1.3755863,2011-01-09 00:00:00
166,0.0,1.1982527,2011-01-09 01:00:00
167,0.0,1.8868537,2011-01-09 02:00:00
168,0.0,1.1253812,2011-01-09 03:00:00
169,0.0,1.0734806,2011-01-09 04:00:00
170,0.0,1.3767662,2011-01-09 05:00:00
171,0.0,0.906366,2011-01-09 06:00:00
172,0.0,1.9971957,2011-01-09 07:00:00
173,0.0,1.1593785,2011-01-09 08:00:00
174,0.0,0.68838185,2011-01-09 09:00:00
175,0.0,-0.1234326,2011-01-09 10:00:00
176,0.0,-0.4288704,2011-01-09 11:00:00
177,0.0,-0.9353695,2011-01-09 12:00:00
178,0.0,0.77517617,2011-01-09 13:00:00
179,0.0,0.49274704,2011-01-09 14:00:00
180,0.0,0.6509699,2011-01-09 15:00:00
181,0.0,0.9229221,2011-01-09 16:00:00
182,0.0,0.658485,2011-01-09 17:00:00
183,0.0,1.0125536,2011-01-09 18:00:00
184,0.0,0.8415745,2011-01-09 19:00:00
185,0.0,0.5455463,2011-01-09 20:00:00
186,0.0,1.1010394,2011-01-09 21:00:00
187,0.0,0.7798405,2011-01-09 22:00:00
188,0.0,1.1235056,2011-01-09 23:00:00
189,0.0,0.81220186,2011-01-10 00:00:00
190,0.0,0.85321933,2011-01-10 01:00:00
191,0.0,1.3104985,2011-01-10 02:00:00
192,0.0,0.9045453,2011-01-10 03:00:00
193,0.0,1.0362977,2011-01-10 04:00:00
194,0.0,0.8834006,2011-01-10 05:00:00
195,0.0,1.659356,2011-01-10 06:00:00
196,0.0,6.8416615,2011-01-10 07:00:00
197,0.0,4.3490734,2011-01-10 08:00:00
198,0.0,5.3074803,2011-01-10 09:00:00
199,0.0,2.9091477,2011-01-10 10:00:00
200,0.0,2.6779048,2011-01-10 11:00:00
201,0.0,3.9852488,2011-01-10 12:00:00
202,0.0,2.8432813,2011-01-10 13:00:00
203,0.0,3.0105472,2011-01-10 14:00:00
204,0.0,2.8207617,2011-01-10 15:00:00
205,43.0,3.6396945,2011-01-10 16:00:00
206,50.0,46.39244,2011-01-10 17:00:00
207,70.0,58.57801,2011-01-10 18:00:00
208,69.0,75.62545,2011-01-10 19:00:00
209,88.0,73.91366,2011-01-10 20:00:00
210,106.0,90.34648,2011-01-10 21:00:00
211,115.0,107.1065,2011-01-10 22:00:00
212,100.0,115.83092,2011-01-10 23:00:00
213,105.0,103.111374,2011-01-11 00:00:00
214,76.0,109.59756,2011-01-11 01:00:00
215,33.0,73.18137,2011-01-11 02:00:00
216,29.0,33.202164,2011-01-11 03:00:00
217,26.0,31.800266,2011-01-11 04:00:00
218,19.0,32.915054,2011-01-11 05:00:00
219,18.0,20.620487,2011-01-11 06:00:00
220,13.0,21.306763,2011-01-11 07:00:00
221,14.0,15.847844,2011-01-11 08:00:00
222,15.0,17.262833,2011-01-11 09:00:00
223,18.0,16.64736,2011-01-11 10:00:00
224,21.0,19.184963,2011-01-11 11:00:00
225,21.0,22.835775,2011-01-11 12:00:00
226,16.0,22.580215,2011-01-11 13:00:00
227,8.0,17.048367,2011-01-11 14:00:00
228,18.0,10.446219,2011-01-11 15:00:00
229,12.0,20.698872,2011-01-11 16:00:00
230,13.0,14.0125885,2011-01-11 17:00:00
231,19.0,14.663128,2011-01-11 18:00:00
232,21.0,21.01551,2011-01-11 19:00:00
233,20.0,22.259895,2011-01-11 20:00:00
234,22.0,28.106163,2011-01-11 21:00:00
235,37.0,26.415075,2011-01-11 22:00:00
236,54.0,45.368626,2011-01-11 23:00:00
237,45.0,60.387966,2011-01-12 00:00:00
238,24.0,47.357475,2011-01-12 01:00:00
239,35.0,27.591839,2011-01-12 02:00:00
240,30.0,37.651752,2011-01-12 03:00:00
241,34.0,38.59216,2011-01-12 04:00:00
242,37.0,35.430916,2011-01-12 05:00:00
243,49.0,38.854557,2011-01-12 06:00:00
244,62.0,51.894604,2011-01-12 07:00:00
245,59.0,64.06277,2011-01-12 08:00:00
246,74.0,61.7707,2011-01-12 09:00:00
247,61.0,72.26478,2011-01-12 10:00:00
248,86.0,58.525932,2011-01-12 11:00:00
249,71.0,82.95438,2011-01-12 12:00:00
250,56.0,72.05533,2011-01-12 13:00:00
251,79.0,58.742382,2011-01-12 14:00:00
252,81.0,83.7623,2011-01-12 15:00:00
253,89.0,82.65854,2011-01-12 16:00:00
254,45.0,92.09367,2011-01-12 17:00:00
255,55.0,47.569355,2011-01-12 18:00:00
256,49.0,58.48554,2011-01-12 19:00:00
257,66.0,53.99729,2011-01-12 20:00:00
258,96.0,72.15665,2011-01-12 21:00:00
259,100.0,101.05826,2011-01-12 22:00:00
260,124.0,105.44653,2011-01-12 23:00:00
261,144.0,128.00362,2011-01-13 00:00:00
262,252.0,146.36859,2011-01-13 01:00:00
263,244.0,251.52448,2011-01-13 02:00:00
264,204.0,238.05432,2011-01-13 03:00:00
265,166.0,194.00241,2011-01-13 04:00:00
266,138.0,156.58977,2011-01-13 05:00:00
267,149.0,130.49384,2011-01-13 06:00:00
268,139.0,142.56372,2011-01-13 07:00:00
269,168.0,134.97743,2011-01-13 08:00:00
270,165.0,169.17287,2011-01-13 09:00:00
271,123.0,158.96745,2011-01-13 10:00:00
272,125.0,118.71697,2011-01-13 11:00:00
273,111.0,123.75123,2011-01-13 12:00:00
274,79.0,110.60252,2011-01-13 13:00:00
275,51.0,74.9544,2011-01-13 14:00:00
276,69.0,49.333843,2011-01-13 15:00:00
277,75.0,68.034294,2011-01-13 16:00:00
278,60.0,73.317635,2011-01-13 17:00:00
279,62.0,62.090225,2011-01-13 18:00:00
280,74.0,63.55695,2011-01-13 19:00:00
281,95.0,76.60765,2011-01-13 20:00:00
282,120.0,99.83578,2011-01-13 21:00:00
283,125.0,123.11621,2011-01-13 22:00:00
284,95.0,126.38557,2011-01-13 23:00:00
285,27.0,87.740715,2011-01-14 00:00:00
286,25.0,22.953293,2011-01-14 01:00:00
287,25.0,25.310778,2011-01-14 02:00:00
288,18.0,26.926668,2011-01-14 03:00:00
289,12.0,19.671093,2011-01-14 04:00:00
290,17.0,13.673679,2011-01-14 05:00:00
291,14.0,19.32023,2011-01-14 06:00:00
292,15.0,15.862021,2011-01-14 07:00:00
293,16.0,17.233894,2011-01-14 08:00:00
294,19.0,17.128073,2011-01-14 09:00:00
295,20.0,19.426926,2011-01-14 10:00:00
296,21.0,19.775522,2011-01-14 11:00:00
297,20.0,20.899277,2011-01-14 12:00:00
298,14.0,20.205004,2011-01-14 13:00:00
299,18.0,14.967683,2011-01-14 14:00:00
300,20.0,19.447227,2011-01-14 15:00:00
301,13.0,20.019167,2011-01-14 16:00:00
302,16.0,12.977798,2011-01-14 17:00:00
303,21.0,16.263437,2011-01-14 18:00:00
304,20.0,22.688873,2011-01-14 19:00:00
305,13.0,20.616856,2011-01-14 20:00:00
306,13.0,13.767914,2011-01-14 21:00:00
307,13.0,14.217582,2011-01-14 22:00:00
308,12.0,13.847148,2011-01-14 23:00:00
309,11.0,12.734785,2011-01-15 00:00:00
310,12.0,12.211144,2011-01-15 01:00:00
311,15.0,12.773834,2011-01-15 02:00:00
312,12.0,14.9661,2011-01-15 03:00:00
313,12.0,12.137706,2011-01-15 04:00:00
314,9.0,12.896732,2011-01-15 05:00:00
315,10.0,9.923982,2011-01-15 06:00:00
316,11.0,10.274662,2011-01-15 07:00:00
317,11.0,11.251795,2011-01-15 08:00:00
318,18.0,10.3182125,2011-01-15 09:00:00
319,22.0,17.342087,2011-01-15 10:00:00
320,10.0,20.641964,2011-01-15 11:00:00
321,12.0,8.522027,2011-01-15 12:00:00
322,17.0,11.38483,2011-01-15 13:00:00
323,17.0,16.553825,2011-01-15 14:00:00
324,17.0,15.276356,2011-01-15 15:00:00
325,14.0,15.918265,2011-01-15 16:00:00
326,15.0,13.824602,2011-01-15 17:00:00
327,15.0,14.274355,2011-01-15 18:00:00
328,21.0,14.222917,2011-01-15 19:00:00
329,27.0,21.581877,2011-01-15 20:00:00
330,17.0,32.086166,2011-01-15 21:00:00
331,29.0,17.485603,2011-01-15 22:00:00
332,33.0,34.051685,2011-01-15 23:00:00
333,29.0,37.058655,2011-01-16 00:00:00
334,24.0,32.723274,2011-01-16 01:00:00
335,16.0,25.9013,2011-01-16 02:00:00
336,14.0,18.846573,2011-01-16 03:00:00
337,13.0,18.75975,2011-01-16 04:00:00
338,13.0,19.341473,2011-01-16 05:00:00
339,13.0,16.288612,2011-01-16 06:00:00
340,19.0,17.39264,2011-01-16 07:00:00
341,11.0,23.212452,2011-01-16 08:00:00
342,17.0,13.910086,2011-01-16 09:00:00
343,26.0,18.44553,2011-01-16 10:00:00
344,25.0,27.472876,2011-01-16 11:00:00
345,31.0,26.32813,2011-01-16 12:00:00
346,37.0,32.10553,2011-01-16 13:00:00
347,30.0,41.998222,2011-01-16 14:00:00
348,40.0,31.485865,2011-01-16 15:00:00
349,39.0,45.26275,2011-01-16 16:00:00
350,56.0,41.72082,2011-01-16 17:00:00
351,60.0,61.102383,2011-01-16 18:00:00
352,72.0,62.253613,2011-01-16 19:00:00
353,61.0,76.20024,2011-01-16 20:00:00
354,70.0,63.708527,2011-01-16 21:00:00
355,73.0,73.028145,2011-01-16 22:00:00
356,77.0,73.998215,2011-01-16 23:00:00
357,107.0,78.579956,2011-01-17 00:00:00
358,130.0,106.44489,2011-01-17 01:00:00
359,128.0,127.20624,2011-01-17 02:00:00
360,50.0,123.37076,2011-01-17 03:00:00
361,41.0,44.77495,2011-01-17 04:00:00
362,40.0,40.304333,2011-01-17 05:00:00
363,34.0,40.94993,2011-01-17 06:00:00
364,37.0,34.347313,2011-01-17 07:00:00
365,30.0,38.21239,2011-01-17 08:00:00
366,36.0,31.066767,2011-01-17 09:00:00
367,27.0,35.22632,2011-01-17 10:00:00
368,26.0,26.254328,2011-01-17 11:00:00
369,18.0,25.231213,2011-01-17 12:00:00
370,20.0,18.215338,2011-01-17 13:00:00
371,23.0,21.316313,2011-01-17 14:00:00
372,14.0,23.839842,2011-01-17 15:00:00
373,18.0,14.813686,2011-01-17 16:00:00
374,17.0,19.735369,2011-01-17 17:00:00
375,20.0,18.331625,2011-01-17 18:00:00
376,17.0,21.515268,2011-01-17 19:00:00
377,26.0,17.761765,2011-01-17 20:00:00
378,24.0,26.697945,2011-01-17 21:00:00
379,16.0,25.14764,2011-01-17 22:00:00
380,10.0,16.928215,2011-01-17 23:00:00
381,12.0,11.56978,2011-01-18 00:00:00
382,12.0,16.120358,2011-01-18 01:00:00
383,12.0,16.453773,2011-01-18 02:00:00
384,13.0,14.452735,2011-01-18 03:00:00
385,13.0,16.86879,2011-01-18 04:00:00
386,16.0,17.312849,2011-01-18 05:00:00
387,18.0,19.538778,2011-01-18 06:00:00
388,17.0,22.052462,2011-01-18 07:00:00
389,24.0,19.668953,2011-01-18 08:00:00
390,31.0,26.328197,2011-01-18 09:00:00
391,31.0,31.486359,2011-01-18 10:00:00
392,30.0,31.226368,2011-01-18 11:00:00
393,31.0,29.87113,2011-01-18 12:00:00
394,23.0,31.07508,2011-01-18 13:00:00
395,18.0,24.013865,2011-01-18 14:00:00
396,19.0,19.03353,2011-01-18 15:00:00
397,19.0,20.26553,2011-01-18 16:00:00
398,18.0,20.50959,2011-01-18 17:00:00
399,17.0,19.589071,2011-01-18 18:00:00
400,21.0,19.303003,2011-01-18 19:00:00
401,28.0,22.73044,2011-01-18 20:00:00
402,25.0,29.186363,2011-01-18 21:00:00
403,21.0,26.70854,2011-01-18 22:00:00
404,16.0,22.98102,2011-01-18 23:00:00
405,22.0,18.990047,2011-01-19 00:00:00
406,24.0,22.724852,2011-01-19 01:00:00
407,20.0,25.3815,2011-01-19 02:00:00
408,26.0,21.888885,2011-01-19 03:00:00
409,21.0,27.10174,2011-01-19 04:00:00
410,17.0,22.599924,2011-01-19 05:00:00
411,23.0,17.4435,2011-01-19 06:00:00
412,23.0,23.208881,2011-01-19 07:00:00
413,14.0,28.187885,2011-01-19 08:00:00
414,21.0,16.172775,2011-01-19 09:00:00
415,26.0,22.985199,2011-01-19 10:00:00
416,25.0,27.000221,2011-01-19 11:00:00
417,21.0,25.778511,2011-01-19 12:00:00
418,21.0,21.473993,2011-01-19 13:00:00
419,24.0,22.295105,2011-01-19 14:00:00
420,13.0,25.426676,2011-01-19 15:00:00
421,13.0,14.790176,2011-01-19 16:00:00
422,12.0,15.246371,2011-01-19 17:00:00
423,16.0,13.987337,2011-01-19 18:00:00
424,18.0,18.819405,2011-01-19 19:00:00
425,24.0,22.015078,2011-01-19 20:00:00
426,16.0,28.154413,2011-01-19 21:00:00
427,34.0,18.269094,2011-01-19 22:00:00
428,24.0,35.71053,2011-01-19 23:00:00
429,17.0,25.973553,2011-01-20 00:00:00
430,15.0,20.048788,2011-01-20 01:00:00
431,20.0,19.101189,2011-01-20 02:00:00
432,13.0,23.401787,2011-01-20 03:00:00
433,17.0,15.146917,2011-01-20 04:00:00
434,17.0,19.83297,2011-01-20 05:00:00
435,20.0,22.679457,2011-01-20 06:00:00
436,20.0,23.273802,2011-01-20 07:00:00
437,15.0,23.106396,2011-01-20 08:00:00
438,26.0,16.60216,2011-01-20 09:00:00
439,25.0,26.25255,2011-01-20 10:00:00
440,27.0,25.62888,2011-01-20 11:00:00
441,44.0,27.170336,2011-01-20 12:00:00
442,29.0,45.517487,2011-01-20 13:00:00
443,19.0,29.415743,2011-01-20 14:00:00
444,25.0,19.597792,2011-01-20 15:00:00
445,47.0,26.129694,2011-01-20 16:00:00
446,58.0,52.139175,2011-01-20 17:00:00
447,59.0,62.997475,2011-01-20 18:00:00
448,70.0,65.27138,2011-01-20 19:00:00
449,74.0,75.69642,2011-01-20 20:00:00
450,82.0,79.106735,2011-01-20 21:00:00
451,91.0,87.42621,2011-01-20 22:00:00
452,100.0,96.5908,2011-01-20 23:00:00
453,124.0,102.24445,2011-01-21 00:00:00
454,120.0,124.08817,2011-01-21 01:00:00
455,45.0,118.57911,2011-01-21 02:00:00
456,36.0,40.35367,2011-01-21 03:00:00
457,34.0,35.725636,2011-01-21 04:00:00
458,39.0,36.39035,2011-01-21 05:00:00
459,27.0,41.288353,2011-01-21 06:00:00
460,20.0,27.794624,2011-01-21 07:00:00
461,31.0,22.209944,2011-01-21 08:00:00
462,32.0,32.71559,2011-01-21 09:00:00
463,36.0,31.338047,2011-01-21 10:00:00
464,42.0,34.657917,2011-01-21 11:00:00
465,29.0,41.90061,2011-01-21 12:00:00
466,24.0,28.83992,2011-01-21 13:00:00
467,30.0,24.350962,2011-01-21 14:00:00
468,35.0,30.987381,2011-01-21 15:00:00
469,37.0,40.561264,2011-01-21 16:00:00
470,67.0,40.64705,2011-01-21 17:00:00
471,102.0,70.94006,2011-01-21 18:00:00
472,155.0,106.53053,2011-01-21 19:00:00
473,144.0,158.7652,2011-01-21 20:00:00
474,154.0,140.56955,2011-01-21 21:00:00
475,170.0,157.94151,2011-01-21 22:00:00
476,187.0,172.09859,2011-01-21 23:00:00
477,191.0,185.87663,2011-01-22 00:00:00
478,130.0,188.57147,2011-01-22 01:00:00
479,74.0,121.08355,2011-01-22 02:00:00
480,51.0,67.70833,2011-01-22 03:00:00
481,43.0,52.7557,2011-01-22 04:00:00
482,44.0,41.920815,2011-01-22 05:00:00
483,61.0,45.569252,2011-01-22 06:00:00
484,67.0,63.36371,2011-01-22 07:00:00
485,88.0,67.061584,2011-01-22 08:00:00
486,91.0,86.58796,2011-01-22 09:00:00
487,54.0,88.52611,2011-01-22 10:00:00
488,49.0,48.73158,2011-01-22 11:00:00
489,50.0,46.369656,2011-01-22 12:00:00
490,48.0,49.126797,2011-01-22 13:00:00
491,44.0,47.55936,2011-01-22 14:00:00
492,46.0,43.33619,2011-01-22 15:00:00
493,48.0,45.230034,2011-01-22 16:00:00
494,45.0,47.200813,2011-01-22 17:00:00
495,36.0,45.294186,2011-01-22 18:00:00
496,23.0,36.281025,2011-01-22 19:00:00
497,29.0,22.457567,2011-01-22 20:00:00
498,11.0,29.210447,2011-01-22 21:00:00
499,12.0,12.029553,2011-01-22 22:00:00
500,16.0,15.100045,2011-01-22 23:00:00
501,11.0,17.86974,2011-01-23 00:00:00
502,12.0,13.110353,2011-01-23 01:00:00
503,13.0,13.6557665,2011-01-23 02:00:00
504,12.0,15.220226,2011-01-23 03:00:00
505,12.0,14.955229,2011-01-23 04:00:00
506,11.0,13.693618,2011-01-23 05:00:00
507,10.0,12.520149,2011-01-23 06:00:00
508,10.0,12.220481,2011-01-23 07:00:00
509,12.0,11.894584,2011-01-23 08:00:00
510,14.0,12.718726,2011-01-23 09:00:00
511,15.0,14.534704,2011-01-23 10:00:00
512,14.0,15.491818,2011-01-23 11:00:00
513,13.0,14.03012,2011-01-23 12:00:00
514,21.0,13.152223,2011-01-23 13:00:00
515,19.0,21.494822,2011-01-23 14:00:00
516,18.0,18.900656,2011-01-23 15:00:00
517,16.0,17.88365,2011-01-23 16:00:00
518,20.0,15.798658,2011-01-23 17:00:00
519,16.0,19.396318,2011-01-23 18:00:00
520,21.0,16.407469,2011-01-23 19:00:00
521,16.0,21.09189,2011-01-23 20:00:00
522,11.0,15.946529,2011-01-23 21:00:00
523,16.0,10.9565115,2011-01-23 22:00:00
524,15.0,16.337,2011-01-23 23:00:00
525,9.0,16.14461,2011-01-24 00:00:00
526,11.0,9.491146,2011-01-24 01:00:00
527,11.0,11.876722,2011-01-24 02:00:00
528,19.0,12.026335,2011-01-24 03:00:00
529,21.0,19.89808,2011-01-24 04:00:00
530,23.0,25.424341,2011-01-24 05:00:00
531,27.0,24.974087,2011-01-24 06:00:00
532,27.0,31.5326,2011-01-24 07:00:00
533,43.0,30.910374,2011-01-24 08:00:00
534,33.0,44.7561,2011-01-24 09:00:00
535,27.0,34.406242,2011-01-24 10:00:00
536,27.0,26.293798,2011-01-24 11:00:00
537,36.0,28.120499,2011-01-24 12:00:00
538,49.0,36.899586,2011-01-24 13:00:00
539,71.0,53.47031,2011-01-24 14:00:00
540,79.0,74.03299,2011-01-24 15:00:00
541,63.0,83.368454,2011-01-24 16:00:00
542,47.0,63.488674,2011-01-24 17:00:00
543,52.0,49.372414,2011-01-24 18:00:00
544,58.0,55.658703,2011-01-24 19:00:00
545,70.0,63.560608,2011-01-24 20:00:00
546,78.0,74.60077,2011-01-24 21:00:00
547,87.0,77.85917,2011-01-24 22:00:00
548,95.0,85.44999,2011-01-24 23:00:00
549,109.0,92.37136,2011-01-25 00:00:00
550,95.0,104.5442,2011-01-25 01:00:00
551,90.0,92.72352,2011-01-25 02:00:00
552,69.0,85.18888,2011-01-25 03:00:00
553,66.0,66.25225,2011-01-25 04:00:00
554,47.0,65.49093,2011-01-25 05:00:00
555,40.0,47.06319,2011-01-25 06:00:00
556,16.0,39.136623,2011-01-25 07:00:00
557,11.0,16.764456,2011-01-25 08:00:00
558,12.0,10.42601,2011-01-25 09:00:00
559,13.0,11.633149,2011-01-25 10:00:00
560,13.0,14.004628,2011-01-25 11:00:00
561,23.0,14.687381,2011-01-25 12:00:00
562,21.0,24.863802,2011-01-25 13:00:00
563,17.0,21.710348,2011-01-25 14:00:00
564,13.0,17.88241,2011-01-25 15:00:00
565,17.0,13.790116,2011-01-25 16:00:00
566,17.0,17.445932,2011-01-25 17:00:00
567,11.0,18.752193,2011-01-25 18:00:00
568,12.0,12.921841,2011-01-25 19:00:00
569,25.0,15.778999,2011-01-25 20:00:00
570,23.0,27.523932,2011-01-25 21:00:00
571,32.0,30.704935,2011-01-25 22:00:00
572,31.0,35.908802,2011-01-25 23:00:00
573,34.0,35.59624,2011-01-26 00:00:00
574,37.0,34.77862,2011-01-26 01:00:00
575,29.0,38.271126,2011-01-26 02:00:00
576,35.0,30.313032,2011-01-26 03:00:00
577,21.0,37.569374,2011-01-26 04:00:00
578,21.0,22.872913,2011-01-26 05:00:00
579,26.0,22.501244,2011-01-26 06:00:00
